tile_name,patch_file,lon_center,lat_center
8602837_3328677.tif,8601499.9961_3329097.1251.png,8601499.996078495,3329097.1251406446
8602837_3328677.tif,8601805.7442_3329097.1251.png,8601805.744191594,3329097.1251406446
8602837_3328677.tif,8602111.4923_3329097.1251.png,8602111.49230469,3329097.1251406446
8602837_3328677.tif,8602417.2404_3329097.1251.png,8602417.24041779,3329097.1251406446
8602837_3328677.tif,8602722.9885_3329097.1251.png,8602722.988530887,3329097.1251406446
8602837_3328677.tif,8603028.7366_3329097.1251.png,8603028.736643985,3329097.1251406446
8602837_3328677.tif,8603334.4848_3329097.1251.png,8603334.484757084,3329097.1251406446
8602837_3328677.tif,8603640.2329_3329097.1251.png,8603640.23287018,3329097.1251406446
8602837_3328677.tif,8603945.9810_3329097.1251.png,8603945.98098328,3329097.1251406446
8602837_3328677.tif,8604175.2921_3329097.1251.png,8604175.292068101,3329097.1251406446
8602837_3328677.tif,8601499.9961_3328791.3770.png,8601499.996078495,3328791.377027547
8602837_3328677.tif,8601805.7442_3328791.3770.png,8601805.744191594,3328791.377027547
8602837_3328677.tif,8602111.4923_3328791.3770.png,8602111.49230469,3328791.377027547
8602837_3328677.tif,8602417.2404_3328791.3770.png,8602417.24041779,3328791.377027547
8602837_3328677.tif,8602722.9885_3328791.3770.png,8602722.988530887,3328791.377027547
8602837_3328677.tif,8603028.7366_3328791.3770.png,8603028.736643985,3328791.377027547
8602837_3328677.tif,8603334.4848_3328791.3770.png,8603334.484757084,3328791.377027547
8602837_3328677.tif,8603640.2329_3328791.3770.png,8603640.23287018,3328791.377027547
8602837_3328677.tif,8603945.9810_3328791.3770.png,8603945.98098328,3328791.377027547
8602837_3328677.tif,8604175.2921_3328791.3770.png,8604175.292068101,3328791.377027547
8602837_3328677.tif,8601499.9961_3328485.6289.png,8601499.996078495,3328485.628914449
8602837_3328677.tif,8601805.7442_3328485.6289.png,8601805.744191594,3328485.628914449
8602837_3328677.tif,8602111.4923_3328485.6289.png,8602111.49230469,3328485.628914449
8602837_3328677.tif,8602417.2404_3328485.6289.png,8602417.24041779,3328485.628914449
8602837_3328677.tif,8602722.9885_3328485.6289.png,8602722.988530887,3328485.628914449
8602837_3328677.tif,8603028.7366_3328485.6289.png,8603028.736643985,3328485.628914449
8602837_3328677.tif,8603334.4848_3328485.6289.png,8603334.484757084,3328485.628914449
8602837_3328677.tif,8603640.2329_3328485.6289.png,8603640.23287018,3328485.628914449
8602837_3328677.tif,8603945.9810_3328485.6289.png,8603945.98098328,3328485.628914449
8602837_3328677.tif,8604175.2921_3328485.6289.png,8604175.292068101,3328485.628914449
8602837_3328677.tif,8601499.9961_3328179.8808.png,8601499.996078495,3328179.880801351
8602837_3328677.tif,8601805.7442_3328179.8808.png,8601805.744191594,3328179.880801351
8602837_3328677.tif,8602111.4923_3328179.8808.png,8602111.49230469,3328179.880801351
8602837_3328677.tif,8602417.2404_3328179.8808.png,8602417.24041779,3328179.880801351
8602837_3328677.tif,8602722.9885_3328179.8808.png,8602722.988530887,3328179.880801351
8602837_3328677.tif,8603028.7366_3328179.8808.png,8603028.736643985,3328179.880801351
8602837_3328677.tif,8603334.4848_3328179.8808.png,8603334.484757084,3328179.880801351
8602837_3328677.tif,8603640.2329_3328179.8808.png,8603640.23287018,3328179.880801351
8602837_3328677.tif,8603945.9810_3328179.8808.png,8603945.98098328,3328179.880801351
8602837_3328677.tif,8604175.2921_3328179.8808.png,8604175.292068101,3328179.880801351
8602837_3328677.tif,8601499.9961_3327874.1327.png,8601499.996078495,3327874.132688253
8602837_3328677.tif,8601805.7442_3327874.1327.png,8601805.744191594,3327874.132688253
8602837_3328677.tif,8602111.4923_3327874.1327.png,8602111.49230469,3327874.132688253
8602837_3328677.tif,8602417.2404_3327874.1327.png,8602417.24041779,3327874.132688253
8602837_3328677.tif,8602722.9885_3327874.1327.png,8602722.988530887,3327874.132688253
8602837_3328677.tif,8603028.7366_3327874.1327.png,8603028.736643985,3327874.132688253
8602837_3328677.tif,8603334.4848_3327874.1327.png,8603334.484757084,3327874.132688253
8602837_3328677.tif,8603640.2329_3327874.1327.png,8603640.23287018,3327874.132688253
8602837_3328677.tif,8603945.9810_3327874.1327.png,8603945.98098328,3327874.132688253
8602837_3328677.tif,8604175.2921_3327874.1327.png,8604175.292068101,3327874.132688253
8602837_3328677.tif,8601499.9961_3327568.3846.png,8601499.996078495,3327568.3845751556
8602837_3328677.tif,8601805.7442_3327568.3846.png,8601805.744191594,3327568.3845751556
8602837_3328677.tif,8602111.4923_3327568.3846.png,8602111.49230469,3327568.3845751556
8602837_3328677.tif,8602417.2404_3327568.3846.png,8602417.24041779,3327568.3845751556
8602837_3328677.tif,8602722.9885_3327568.3846.png,8602722.988530887,3327568.3845751556
8602837_3328677.tif,8603028.7366_3327568.3846.png,8603028.736643985,3327568.3845751556
8602837_3328677.tif,8603334.4848_3327568.3846.png,8603334.484757084,3327568.3845751556
8602837_3328677.tif,8603640.2329_3327568.3846.png,8603640.23287018,3327568.3845751556
8602837_3328677.tif,8603945.9810_3327568.3846.png,8603945.98098328,3327568.3845751556
8602837_3328677.tif,8604175.2921_3327568.3846.png,8604175.292068101,3327568.3845751556
8602837_3328677.tif,8601499.9961_3327339.0735.png,8601499.996078495,3327339.073490332
8602837_3328677.tif,8601805.7442_3327339.0735.png,8601805.744191594,3327339.073490332
8602837_3328677.tif,8602111.4923_3327339.0735.png,8602111.49230469,3327339.073490332
8602837_3328677.tif,8602417.2404_3327339.0735.png,8602417.24041779,3327339.073490332
8602837_3328677.tif,8602722.9885_3327339.0735.png,8602722.988530887,3327339.073490332
8602837_3328677.tif,8603028.7366_3327339.0735.png,8603028.736643985,3327339.073490332
8602837_3328677.tif,8603334.4848_3327339.0735.png,8603334.484757084,3327339.073490332
8602837_3328677.tif,8603640.2329_3327339.0735.png,8603640.23287018,3327339.073490332
8602837_3328677.tif,8603945.9810_3327339.0735.png,8603945.98098328,3327339.073490332
8602837_3328677.tif,8604175.2921_3327339.0735.png,8604175.292068101,3327339.073490332
8602837_3331429.tif,8601499.9961_3332766.1025.png,8601499.996078495,3332766.102497818
8602837_3331429.tif,8601805.7442_3332766.1025.png,8601805.744191594,3332766.102497818
8602837_3331429.tif,8602111.4923_3332766.1025.png,8602111.49230469,3332766.102497818
8602837_3331429.tif,8602417.2404_3332766.1025.png,8602417.24041779,3332766.102497818
8602837_3331429.tif,8602722.9885_3332766.1025.png,8602722.988530887,3332766.102497818
