tile_name,lon_center,lat_center
8602837_3334180.tif,8602417.24041779,3333989.0949502112
8602837_3334180.tif,8602722.988530887,3333989.0949502112
8602837_3334180.tif,8603028.736643985,3333989.0949502112
8602837_3334180.tif,8603334.484757084,3333989.0949502112
8602837_3334180.tif,8603640.23287018,3333989.0949502112
8602837_3334180.tif,8603945.98098328,3333989.0949502112
8602837_3334180.tif,8604175.292068101,3333989.0949502112
8602837_3334180.tif,8601499.996078495,3333683.3468371136
8602837_3334180.tif,8601805.744191594,3333683.3468371136
8602837_3334180.tif,8602111.49230469,3333683.3468371136
8602837_3334180.tif,8602417.24041779,3333683.3468371136
8602837_3334180.tif,8602722.988530887,3333683.3468371136
8602837_3334180.tif,8603028.736643985,3333683.3468371136
8602837_3334180.tif,8603334.484757084,3333683.3468371136
8602837_3334180.tif,8603640.23287018,3333683.3468371136
8602837_3334180.tif,8603945.98098328,3333683.3468371136
8602837_3334180.tif,8604175.292068101,3333683.3468371136
8602837_3334180.tif,8601499.996078495,3333377.5987240155
8602837_3334180.tif,8601805.744191594,3333377.5987240155
8602837_3334180.tif,8602111.49230469,3333377.5987240155
8602837_3334180.tif,8602417.24041779,3333377.5987240155
8602837_3334180.tif,8602722.988530887,3333377.5987240155
8602837_3334180.tif,8603028.736643985,3333377.5987240155
8602837_3334180.tif,8603334.484757084,3333377.5987240155
8602837_3334180.tif,8603640.23287018,3333377.5987240155
8602837_3334180.tif,8603945.98098328,3333377.5987240155
8602837_3334180.tif,8604175.292068101,3333377.5987240155
8602837_3334180.tif,8601499.996078495,3333071.8506109174
8602837_3334180.tif,8601805.744191594,3333071.8506109174
8602837_3334180.tif,8602111.49230469,3333071.8506109174
8602837_3334180.tif,8602417.24041779,3333071.8506109174
8602837_3334180.tif,8602722.988530887,3333071.8506109174
8602837_3334180.tif,8603028.736643985,3333071.8506109174
8602837_3334180.tif,8603334.484757084,3333071.8506109174
8602837_3334180.tif,8603640.23287018,3333071.8506109174
8602837_3334180.tif,8603945.98098328,3333071.8506109174
8602837_3334180.tif,8604175.292068101,3333071.8506109174
8602837_3334180.tif,8601499.996078495,3332842.539526094
8602837_3334180.tif,8601805.744191594,3332842.539526094
8602837_3334180.tif,8602111.49230469,3332842.539526094
8602837_3334180.tif,8602417.24041779,3332842.539526094
8602837_3334180.tif,8602722.988530887,3332842.539526094
8602837_3334180.tif,8603028.736643985,3332842.539526094
8602837_3334180.tif,8603334.484757084,3332842.539526094
8602837_3334180.tif,8603640.23287018,3332842.539526094
8602837_3334180.tif,8603945.98098328,3332842.539526094
8602837_3334180.tif,8604175.292068101,3332842.539526094
8602837_3336932.tif,8601499.996078495,3338269.568533582
8602837_3336932.tif,8601805.744191594,3338269.568533582
8602837_3336932.tif,8602111.49230469,3338269.568533582
8602837_3336932.tif,8602417.24041779,3338269.568533582
8602837_3336932.tif,8602722.988530887,3338269.568533582
8602837_3336932.tif,8603028.736643985,3338269.568533582
8602837_3336932.tif,8603334.484757084,3338269.568533582
8602837_3336932.tif,8603640.23287018,3338269.568533582
8602837_3336932.tif,8603945.98098328,3338269.568533582
8602837_3336932.tif,8604175.292068101,3338269.568533582
8602837_3336932.tif,8601499.996078495,3337963.820420484
8602837_3336932.tif,8601805.744191594,3337963.820420484
8602837_3336932.tif,8602111.49230469,3337963.820420484
8602837_3336932.tif,8602417.24041779,3337963.820420484
8602837_3336932.tif,8602722.988530887,3337963.820420484
8602837_3336932.tif,8603028.736643985,3337963.820420484
8602837_3336932.tif,8603334.484757084,3337963.820420484
8602837_3336932.tif,8603640.23287018,3337963.820420484
8602837_3336932.tif,8603945.98098328,3337963.820420484
8602837_3336932.tif,8604175.292068101,3337963.820420484
8602837_3336932.tif,8601499.996078495,3337658.072307386
